Year,Consumer price index (2010 = 100),GDP (constant LCU),GDP (current LCU),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Livestock production index (2014-2016 = 100),"Official exchange rate (LCU per US$, period average)","Total reserves (includes gold, current US$)","Population, total","Population, female","Population, male",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Trade Openness Index(%),Crude oil price(per barrel in $),Cumulative crude oil production up to and including year,Narrow Money,Money Supply M3,Net Foreign Assets,Net Domestic Credit,Credit to Government,Credit to Private Sector,Base Money,Currency in Circulation,Bank Reserves,Currency Outside Banks,Demand Deposits,Quasi Money,Net Domestic Assets,Other Assets Net,Money Supply M2,CBN Bills,Special Intervention Reserves,GDPBillions of US $,Per CapitaUS $,Growth RateAnnual % Change,Petrol Price (Naira),Food imports (% of merchandise imports),Food exports (% of merchandise imports)
1970,0.099180104,1.43061E+13,8961500000,25.00724193,225.7739995,22.28859872,51.27848133,13.75707992,23.85,0.714286,223498270,55569264,27832848,27736415,42.14127024,54.5766438,3.282085968,19.6206,1.21,1138896,641.5,30368977.77,128.15,1120.3,768.6,351.7,388.9,370.4,18.5,342.4,299.1,336.7,850,-270.3,978.2,2447132.17,258214.99,12.54609498,225.774,25.0072,0.15,8.244636328,31.34822038
1971,0.115048043,1.6343E+13,10375400000,14.23753156,161.5439014,11.68828357,1.348034249,15.99911485,23.45,0.712855833,431942650.8,56837614,28455645,28381969,42.28750172,54.44293369,3.269564588,24.46364,1.7,1697784,670,30368977.77,267.5,1099.2,597.2,502,392.8,386.4,6.4,354.4,315.6,371.8,774.3,-324.9,1041.8,2447132.17,258214.99,9.181769912,161.5439,14.2375,0.15,8.625373832,19.44626393
1972,0.119026001,1.68928E+13,11034700000,3.364262035,210.9954798,0.990043512,2.892868106,3.457649752,21.78,0.657894999,390711738.6,58173834,29110253,29063582,42.45683169,54.28287265,3.260295657,22.76365,1.82,2362331,747.4,30368977.77,229.5,1235,606.3,628.7,428.9,414,14.9,385.2,362.2,467.5,985.4,-249.6,1214.9,2447132.17,258214.99,12.27441602,210.9955,3.3643,0.15,10.14052197,12.7975551
1973,0.125456576,1.78038E+13,12251600000,5.392760484,254.3873472,2.861422314,5.346836564,5.402664454,25.79,0.657894999,622853179.5,59605446,29810714,29794732,42.63308375,54.11466055,3.252255702,31.26775,2.7,3112150,925.8,30368977.77,403,1316.9,563.3,753.6,501.7,486.3,15.4,435.9,489.9,596.7,1119.5,-197.4,1522.5,2447132.17,258214.99,15.16287129,254.3873,5.3928,0.15,10.8162252,11.76422632
1974,0.141357436,1.97908E+13,19604000000,11.16067455,406.2701421,8.338877323,43.94636792,12.67439318,27.79,0.630282046,5708969927,61157931,30570032,30587900,42.82313897,53.93346732,3.243393704,39.74699,11,3935225,1357.2,30368977.77,3492.5,-310.3,-1277,966.7,744.1,638.7,105.4,569.9,787.3,995.1,-1140.2,-829.9,2352.3,2447132.17,258214.99,24.84664132,406.2701,11.1607,0.15,9.533229636,5.065676683
1975,0.189368342,1.87562E+13,22945400000,-5.227747555,441.9785958,-7.781163332,23.50079026,33.96418832,27.98,0.615501553,5665692312,62851312,31400270,31451041,43.02233295,53.74354837,3.234118671,41.17034,10.43,4586093,2605.4,30368977.77,3533.2,1217.9,-453.9,1671.8,1859.4,1155.5,703.9,1030.7,1574.7,1635.8,708,-509.9,4241.2,2447132.17,258214.99,27.77893462,441.9786,-5.2277,0.15,9.380065312,5.166175442
1976,0.235384849,2.04522E+13,28611400000,9.042351726,561.5500999,5.994950063,14.35318537,24.3,33.58,0.626601004,5256784369,64658315,32288982,32369334,43.22415222,53.54786851,3.227979263,42.1381,11.6,5342537,3864.1,30368977.77,3170.2,3309.9,845.5,2464.4,2445.2,1540,905.2,1351.2,2512.9,2041,2734.9,-575,5905.1,2447132.17,258214.99,36.30888325,561.5501,9.0424,0.15,10.10803586,4.473770565
1977,0.270899325,2.16842E+13,33585000000,6.02411785,541.156246,2.949036296,10.71375379,15.08783406,31.92,0.644701062,4335987601,66589655,33242253,33347403,43.416001,53.36035715,3.223641846,47.39527,12.5,6103598,5557.8,30368977.77,2722.3,5162.2,1353.8,3808.4,2792.6,2162.6,630,1940.8,3617,2341,5176.5,14.3,7898.8,2447132.17,258214.99,36.03540773,541.1562,6.0241,0.15,12.86975246,5.664494782
1978,0.329709525,2.04343E+13,36053000000,-5.764158394,532.2174337,-8.570210695,13.91474502,21.70924574,34.08,0.635271994,2028808604,68633344,34254109,34379235,43.61213803,53.16882311,3.219038863,43.31484,12.79,6796000,5260.7,30368977.77,1192.9,7017.4,2504.4,4513,2898.6,2381.7,516.9,2157.2,3103.5,2724.7,6792.5,-224.9,7985.4,2447132.17,258214.99,36.52786221,532.2174,-5.7642,0.15,14.12978179,7.53231775
1979,0.368317622,2.18156E+13,42912000000,6.759430935,667.9817219,3.56501702,11.48876314,11.70973062,36.88,0.604007374,5899642026,70750307,35303291,35447016,43.81548408,52.96997793,3.214537995,43.8784,29.19,7636228,6351.5,30368977.77,3232.2,8765.2,3365.6,5399.6,3083.4,2703.4,380,2350.8,4000.7,3873.1,6992.4,-1772.8,10224.6,2447132.17,258214.99,47.25991189,667.9817,6.7594,0.15,16.84721006,3.584469019
1980,0.40504722,2.27329E+13,50270000100,4.204831044,880.0619837,1.060704056,12.41966224,9.97226199,44.84,0.546780892,10639786873,72951439,36394977,36556463,43.99931889,52.79130236,3.209378754,48.57131,35.52,8389456,9650.7,30368977.77,5622,11025.6,3567.8,7457.8,4797.5,3589.5,1208,3185.9,6464.8,5449.3,9478,-1547.6,15100,2447132.17,258214.99,64.20178812,880.062,4.2048,0.15,14.71625829,12.63864466
1981,0.489348981,1.97485E+13,1.39311E+11,-13.12788049,2187.886436,-15.6978583,219.002844,20.81282291,42.52,0.617708175,4168449636,75175387,37496717,37678670,44.18827269,52.60584957,3.205877743,18.17173,34,8914910,9915.3,30368977.77,2585,16203.4,6532.9,9670.5,5026.1,4347.7,678.4,3861.9,6053.4,6246.4,13576.7,-2626.7,16161.7,2447132.17,258214.99,164.4752095,2187.8864,-13.1279,0.15,15.54433074,2.180091418
1982,0.527017828,1.8405E+13,1.49051E+11,-6.803388815,1844.849844,-9.46806679,14.80255192,7.697747247,45.88,0.673461262,1926433779,77388067,38591740,38796327,44.3914502,52.40350074,3.205049063,13.77983,32.38,9384665,10291.8,30368977.77,888.1,22272,10660.6,11611.4,5784.5,4728.9,1055.6,4222.5,6069.3,7801.8,17205.5,-5066.5,18093.6,2447132.17,258214.99,142.7693633,1844.8498,-6.8034,0.2,14.71625829,12.63864466
1983,0.649350954,1.63944E+13,1.5875E+11,-10.92408503,1223.603921,-13.12822814,19.56894989,23.21233155,50.05,0.724409851,1251986799,79351586,39562984,39788602,44.60135582,52.1943043,3.204339881,10.04497,29.04,9835623,11517.8,30368977.77,501.4,28687.9,16450.1,12237.8,6109.5,5299.3,810.2,4842.8,6675,9361.3,20377.7,-8310.2,20879.1,2447132.17,258214.99,97.09491179,1223.6039,-10.9241,0.2,21.5548761,3.773634729
1984,0.765068757,1.62115E+13,1.65854E+11,-1.115623217,903.4493516,-3.530019789,5.653664095,17.82053329,51.7,0.766527449,1674113905,81337553,40539974,40797578,44.77943998,52.01642378,3.204136244,9.38054,28.2,10343631,12497.1,30368977.77,1110.7,32020.6,19125.3,12895.3,5915.6,5347.2,568.4,4883.5,7613.6,10872.9,22259.3,-9761.3,23370,2447132.17,258214.99,73.48435952,903.4494,-1.1156,0.2,21.28781475,2.733751328
1985,0.821954257,1.71701E+13,1.87831E+11,5.913027459,882.2827027,3.064911348,6.927769156,7.435344828,57.97,0.893774083,1891868244,83585251,41647954,41937296,44.90221965,51.89271969,3.205060663,10.39198,27.01,10890729,13878,30368977.77,1418.4,34462.6,20323.6,14139,5715.1,5375,340.1,4909.9,8968.1,12399.6,24859.2,-9603.4,26277.6,2447132.17,258214.99,73.74582116,882.2827,5.913,0.2,17.95692129,2.178107653
1986,0.868946627,1.71805E+13,1.98123E+11,0.060945274,638.7316957,-2.526674823,5.415452584,5.717151454,50.99,1.754523004,1349903027,85804185,42746686,43057499,44.98124972,51.81338155,3.205368731,9.13585,13.53,11426038,13560.4,30368977.77,5367.8,37850.5,19550.6,18299.9,6666.4,5696.3,970.1,5177.9,8382.5,13829.4,22022,-15828.5,27389.8,2447132.17,258214.99,54.80585258,638.7317,0.0609,0.395,15.7696387,5.116928958
1987,0.967053504,1.77303E+13,2.4468E+11,3.200125467,598.2909687,0.574529215,19.6694756,11.29032258,52.07,4.016037344,1497832059,88044187,43855247,44188940,44.99993111,51.79466192,3.205406962,19.49534,17.73,11908933,15195.7,30368977.77,3700.5,44140,22247.5,21892.5,8491.8,6854.9,1636.9,6298.6,8897.1,18471.7,29966.9,-14173.1,33667.4,2447132.17,258214.99,52.67604193,598.291,3.2001,0.395,10.85984398,3.137822521
1988,1.494206213,1.90307E+13,3.15615E+11,7.334025488,549.5037556,4.593066668,20.17712612,54.51122478,50.34,4.536966667,932989776.5,90351467,44995084,45356384,44.96133527,51.83288668,3.205778053,16.94061,14.24,12399867,22232.1,30368977.77,9492.4,54813.1,29340.6,25472.5,11740.6,10210.5,1530.1,9413.6,12818.5,23214.8,35954.5,-18858.6,45446.9,2447132.17,258214.99,49.64847044,549.5038,7.334,0.395,14.71625829,12.63864466
1989,2.248282603,1.9396E+13,4.14861E+11,1.919381296,474.4569001,-0.709919119,28.96967339,50.46668812,49.55,7.364735,2041078374,92744064,46175196,46568868,44.87776951,51.91630403,3.205926456,34.18262,17.31,13026316,26268.8,30368977.77,22524.3,37004.2,7360.3,29643.9,11840.4,10722.4,1118,9760.6,16508.2,20786.2,24530.7,-12473.5,47055,2447132.17,258214.99,44.00306111,474.4569,1.9194,0.395,14.71625829,12.63864466
1990,2.413855134,2.16802E+13,4.94644E+11,11.77688593,567.5179022,8.877000036,6.66894187,7.364400306,50.35,8.038285,4128789618,95214257,47392609,47821647,44.75258545,52.0429249,3.204489655,30.92474,22.26,13656562,39156.2,30368977.77,43909.9,58209.3,22772.7,35436.6,18341,16212.5,2128.5,14951.1,24205.1,29506.3,24752.6,-33456.7,68662.5,2447132.17,258214.99,54.03579539,567.5179,11.7769,0.6,14.71625829,12.63864466
1991,2.727824622,2.17579E+13,5.9006E+11,0.358352602,609.3731283,-2.1803679,18.8639068,13.0069731,50.04,9.909491667,4678023330,97685360,48618590,49066769,44.61437182,52.18438542,3.201242761,37.0216,18.62,14347544,50071.7,30368977.77,56045.3,81705,39626,42079,29871.7,25331.2,4540.5,23120.6,26951.1,37428.1,31454.5,-50250.5,87499.8,2447132.17,258214.99,59.52683341,609.3731,0.3584,0.7,14.71625829,12.63864466
1992,3.944130052,2.27655E+13,9.06029E+11,4.631192946,519.6358475,2.023628587,46.75235536,44.58884272,50.77,17.298425,1196052750,100182045,49862635,50319410,44.46641811,52.33796036,3.195621531,38.22739,18.44,15063806,75970.27,30368977.77,35778.25,171071.02,91112.1,79958.92,71865.93,39725.03,32140.9,36755.53,39214.74,53115.2,93307.19,-77763.84,129085.47,2447132.17,258214.99,52.05818185,519.6358,4.6312,3.25,14.71625829,12.63864466
1993,6.198801969,2.23022E+13,1.25717E+12,-2.035118774,551.8929192,-4.507149256,41.63905872,57.16525283,55.24,22.0654,1640443739,102775465,51151537,51623928,44.29269254,52.51928976,3.1880177,33.71975,16.33,15759204,94763.52,30368977.77,58300.79,217486.77,90369.06,127117.71,93800.25,49629.09,44171.16,46228.23,48535.29,70575.23,107037.94,-110448.83,165338.75,2447132.17,258214.99,56.7210514,551.8929,-2.0351,11,14.71625829,12.63864466
1994,9.734084664,2.18975E+13,1.76879E+12,-1.814924485,762.3987332,-4.31075317,43.29646429,57.03170891,60.22,21.996,1649172399,105456121,52479723,52976399,44.11351002,52.70893759,3.177552396,23.05924,15.53,16423824,136375.7,30368977.77,47272.44,350821.88,207397.67,143424.21,126024.37,67661.71,58362.66,63405.5,72970.2,93916.89,183020.19,-167801.69,230292.59,2447132.17,258214.99,80.39961306,762.3987,-1.8149,11,14.71625829,12.63864466
1995,16.82395412,2.18816E+13,3.10024E+12,-0.072664764,1302.550052,-2.595600773,75.40165319,72.8355023,61.94,21.89525833,1709113521,108187610,53834817,54352793,43.951003,52.88444468,3.164552314,39.52838,16.86,17096371,176150.24,30368977.77,106497.68,365569.46,185564.7,180004.76,154258.5,96210.47,58048.03,89888.87,86261.38,112940.82,182593.39,-182976.07,289091.07,2447132.17,258214.99,140.919777,1302.5501,-0.0727,11,14.71625829,12.63864466
1996,21.74803826,2.27997E+13,4.08607E+12,4.195924047,1673.906146,1.596032682,26.49108986,29.26829268,63.55,21.884425,4329391828,110956183,55214789,55741393,43.80478418,53.04340588,3.151809936,40.25773,20.29,17778253,209943.44,30368977.77,135117.56,414192.96,175596.4,238596.57,168333.83,111269.68,57064.15,103932.12,106011.32,135910.52,210736.4,-203456.57,345853.96,2447132.17,258214.99,185.7302367,1673.9061,4.1959,11,17.51441946,1.652210601
1997,23.60311856,2.34693E+13,4.41871E+12,2.937099419,1765.078768,0.372520439,5.055345931,8.529874214,65.9,21.88605,7781250309,113791181,56625202,57165978,43.66035116,53.20011949,3.139529342,51.46101,18.86,18463264,244792.41,30368977.77,214928.02,381592,65384.92,316207.08,289737.44,123351.2,166386.23,113799.9,130992.52,168487.72,198352.1,-183239.9,413280.13,2447132.17,258214.99,200.8503976,1765.0788,2.9371,11,18.38688963,0.152212197
1998,25.96257554,2.40751E+13,4.80516E+12,2.581254102,1871.756057,0.032473525,6.009344304,9.996378124,71.91,21.886,7298545693,116690527,58059921,58630607,43.51920596,53.35273337,3.128060673,39.27861,12.28,19171015,285800.89,30368977.77,264901.37,404258.72,52302.52,351956.19,190239.78,144807.73,45432.05,130456.95,155343.94,202344.9,223244.41,-181014.3,488145.79,2447132.17,258214.99,218.4162007,1871.7561,2.5813,11,19.59734175,0.415105802
1999,27.68087574,2.42158E+13,5.48235E+12,0.584126893,494.1292273,-1.941105546,13.43057164,6.618373395,75.19,92.3381,5649725441,119695565,59544078,60151488,43.4170032,53.46455964,3.118437165,34.45783,17.44,19821263,362897.19,30368977.77,626253.09,496001.8,64833.45,431168.36,240541.26,171856.5,68684.76,151985.18,210912.02,266054.97,2699.08,-493302.72,628952.16,2447132.17,258214.99,59.14507704,494.1292,0.5841,20,27.02321964,0.302382399
2000,29.60007172,2.54304E+13,7.06275E+12,5.015934759,563.0470862,2.317774901,22.6737374,6.933292156,74.71,101.6973333,10099448198,122851984,61103614,61748370,43.37966265,53.50926507,3.111072277,48.9956,27.6,20572881,509213.16,30368977.77,910874.04,521565.14,-8808.17,530373.3,329699.98,224703.03,104996.95,196886.01,312327.15,369244.12,-32416.77,-553981.91,878457.28,2447132.17,258214.99,69.17145163,563.0471,5.0159,22,19.91769604,0.138495792
2001,35.18668454,2.69353E+13,8.23449E+12,5.917684649,583.0858388,3.146424683,10.07647724,18.87364621,81.1,111.23125,10646598366,126152678,62731941,63420738,43.39590935,53.49887121,3.105219442,49.6805,23.12,21309305,758433.91,30368977.77,1337869.86,744484.03,-20477.49,764961.52,484072.76,340493.06,143579.7,287493.06,470940.86,510887.7,-68548.24,-813032.27,1269321.61,2447132.17,258214.99,73.55784006,583.0858,5.9177,26,21.70472748,0.015658325
2002,39.71752584,3.10643E+13,1.15015E+13,15.32915574,733.5378887,12.27613907,21.10905,12.8765792,85.71,120.5781583,7566806239,129583026,64424240,65158785,43.4555651,53.44431474,3.100120162,40.03517,24.36,21966925,883161.35,30368977.77,1252953.63,1078520.59,148026.67,930493.92,619116.75,380543.57,238573.18,315106.12,568055.23,622802.15,253009.87,-825510.72,1505963.5,2447132.17,258214.99,95.0540593,733.5379,15.3292,30,19.57764009,0.638004455
2003,45.29060312,3.33466E+13,1.3557E+13,7.347194968,786.8022148,4.495155883,9.804323777,14.03178361,83.38,129.22235,7415087386,133119801,66172940,66946860,43.54650156,53.35733958,3.096158862,49.33496,28.1,22757640,1183622.03,30368977.77,1278290.19,1657330.51,560794.94,1096535.57,646368.39,448814.79,197553.59,374623.42,808998.61,769299.16,674631,-982699.51,1952921.19,2447132.17,258214.99,104.7389543,786.8022,7.3472,40,15.49647911,0.023576845
2004,52.0833031,3.64314E+13,1.81241E+13,9.250558229,992.7453991,6.34504073,22.36834147,14.99803382,86.49,132.888025,17256543969,136756848,67971753,68785095,43.64317882,53.26456944,3.092251743,31.89587,36.05,23609489,1230775.73,30368977.77,1916555.1,1934423.31,512759.28,1421664.03,658348.92,471495.42,186853.5,391529.68,839246.06,901043.25,215263.88,-1719159.42,2131818.98,2447132.17,258214.99,135.7647316,992.7454,9.2506,55,14.71625829,12.63864466
2005,61.38720049,3.8777E+13,2.31219E+13,6.438516525,1250.406913,3.609660614,19.85849477,17.86349337,87.33,131.2743333,28632051717,140490722,69820038,70670683,43.74890002,53.1628569,3.08824308,33.05946,50.59,24473059,1488883.12,30368977.77,3372615.73,2338835.13,500445.22,1838389.92,742755.91,522210.72,220545.18,444031.16,1044851.96,1149029.62,-734703,-3073538.13,2637912.73,2447132.17,258214.99,175.67057,1250.4069,6.4385,60,14.71625829,12.63864466
2006,66.43643372,4.11267E+13,3.03752E+13,6.059428032,1652.154002,3.238342572,23.86438113,8.22522152,85.91,128.6516667,42735039033,144329764,71718561,72611203,43.86867028,53.04602052,3.085309198,42.56657,61,25288426,2114934.82,30368977.77,5528179.5,2046207.92,-244409.85,2290617.75,800592.96,619325.32,181267.64,527058.79,1587876.02,1682974.14,-1730270.51,-3776478.43,3797908.98,2447132.17,258214.99,238.4549972,1652.154,6.0594,65,17.95533875,0.055381467
2007,70.01603406,4.38374E+13,3.46759E+13,6.591130361,1876.413033,3.741687355,7.099730993,5.388007969,92.88,125.8081083,51906164586,148294028,73673124,74620905,43.98550898,52.93176,3.082731019,39.33693,69.04,26040057,2729286.22,30368977.77,7095123.18,1145765.08,-2522892.76,3668657.82,944023.95,751823.91,192200.04,585768.16,2143518.07,2398114.47,-1967722.47,-3113487.55,5127400.71,2447132.17,258214.99,278.2608468,1876.413,6.5911,70,20.05801203,1.623117395
2008,78.1246436,4.68028E+13,3.99542E+13,6.764472778,2227.790349,3.899943183,7.921387202,11.58107517,95.14,118.5666667,53598093557,152382506,75683500,76699005,44.09830548,52.82158275,3.080111768,40.79684,94.1,26778413,4202224.98,30368977.77,8074683.52,4010720.43,-2909778.32,6920498.76,1260082.51,944137.98,315944.53,716279.7,3485945.28,3805978.98,-66479.54,-4077199.98,8008203.93,2447132.17,258214.99,339.4762763,2227.7903,6.7645,65,9.778790493,1.288146478
2009,87.91977683,5.05643E+13,4.34615E+13,8.036925101,1883.887783,5.130161875,0.686098875,12.53782773,98.7,148.88,43129830238,156595758,77749737,78846020,44.19916101,52.72194587,3.078893118,36.05871,60.86,27450737,4559136.99,28736615.22,7661199.31,5919172.48,-3182876.62,9102049.13,1412477.37,1048174.2,364303.16,804854.14,3754282.83,4851975.28,1749912.97,-4169259.51,9411112.24,2243204.49,258214.99,295.0088354,1883.8878,8.0369,65,11.82807705,4.533894903
2010,100,5.46123E+13,5.46123E+13,8.005655916,2280.111289,5.081874855,16.34276633,13.74005214,98.36,150.2975,33305051216,160952853,79886397,81066457,44.27423649,52.64707966,3.078683846,43.32076,77.38,28198355,5100220.23,11041152.51,6725454.84,8580091.6,-1576929.57,10157021.18,1606244.06,1121085.98,485158.08,855720.41,4244499.82,5934720.7,4315697.67,-4264393.93,11034940.93,6211.58,258214.99,366.9904171,2280.1113,8.0057,65,10.25156715,3.339066294
2011,110.8261372,5.7511E+13,6.31347E+13,5.307924203,2504.879101,2.437007237,9.778458097,10.82613719,95.04,153.8625,33691784436,165463745,82099103,83364643,44.32658029,52.59562101,3.077798695,53.27796,107.46,28919160,5772542.32,12473093.49,6736501.26,9376913.58,-1283158.25,10660071.84,2012203.38,1393702.14,618501.24,1070733.16,4701809.15,6399947.97,5736592.23,-3640321.36,12172490.28,300603.2,258214.99,414.4666768,2504.8791,5.3079,65,30.56950444,1.795874512
2012,124.3737916,5.99438E+13,7.23515E+13,4.230061175,2728.022788,1.403508779,9.947636706,12.2242413,90.28,157.5,44973806132,170075932,84362132,85713800,44.36356681,52.56190791,3.074525275,44.53237,109.45,29634351,6621232.88,15347693.29,7990005.22,12993321.55,-1655954.9,14649276.46,2871143.36,1427768,1443375.36,1121739.97,5499492.9,7273933.91,7357910.42,-5635411.13,13895166.78,1452526.51,64553.75,463.9710182,2728.0228,4.2301,1.2,22.70974247,5.354394863
2013,134.93999,6.39428E+13,8.101E+13,6.671335393,2976.756832,3.832366181,4.964745716,8.495518383,98.47,157.3116667,43675023638,174726123,86645192,88080932,44.38209894,52.55421523,3.063685837,31.04886,105.87,30274458,6695767.8,17692948.19,9158201.98,13331829.59,-2420007.93,15751837.52,3999711.84,1502341.88,2497369.96,1207736.07,5488031.74,8464522.06,8534746.21,-4797083.38,15160289.86,2532658.33,0,520.1171803,2976.7568,6.6713,1.2,17.82938979,5.051333247
2014,145.7991654,6.79775E+13,9.0137E+13,6.309718655,3200.952799,3.552162299,4.662622917,8.04741088,99.84,158.5526417,35070259874,179379016,88929439,90449577,44.3679551,52.58942397,3.04262093,30.88519,96.29,30934030,7178584.79,20557516.15,7134113.99,17609684.16,478233.64,17131450.52,5028818.55,1569099.61,3459718.94,1290212.58,5888372.21,10500701.76,13423402.16,-4186282.01,17679286.54,2878229.6,0,574.1837634,3200.9528,6.3097,1.2,17.02716473,1.872457482
2015,158.9348464,6.97807E+13,9.51777E+13,2.652693295,2679.554223,0.076961617,2.863665123,9.00943498,101.97,192.4403333,29011450144,183995785,91192351,92803434,44.31372448,52.66017222,3.026103296,21.33265,49.49,31572120,7004042.7,21376118.08,5833541.96,20966622.83,2291155.53,18675467.3,5757681.88,1642821.18,4114860.7,1277148.51,5726894.19,11897260.32,15542576.11,-5424046.71,18901303.01,2474815.07,236697.08,493.0266828,2679.5542,2.6527,1.45,16.94891678,2.894249374
2016,183.8825515,6.86524E+13,102575000000000.0,-1.616868949,2144.780344,-4.052706362,9.543670064,15.69681264,98.18,253.492,28020197619,188666931,93474951,95191980,44.21572454,52.76534153,3.018933933,20.72252,40.76,32094498,9608333.29,24568841.21,6766570.43,24740697.53,3657980.9,21082716.63,5429665.91,1791150.21,3297878.95,1463689.6,8144643.69,12016298.36,17802270.78,-6938426.75,21624631.65,2944209.56,340636.75,404.6491253,2144.7803,-1.6169,1.45,12.85060087,1.965275192
